target;source;weight
Aeugst am Albis;Aeugst am Albis;147
Aeugst am Albis;Affoltern am Albis;106
Aeugst am Albis;Bonstetten;5
Aeugst am Albis;Hausen am Albis;7
Aeugst am Albis;Hedingen;8
Aeugst am Albis;Mettmenstetten;8
Aeugst am Albis;Stallikon;14
Aeugst am Albis;Wettswil am Albis;6
Aeugst am Albis;Kloten;10
Aeugst am Albis;Opfikon;9
Aeugst am Albis;Regensdorf;5
Aeugst am Albis;Adliswil;19
Aeugst am Albis;Horgen;9
Aeugst am Albis;Kilchberg (ZH);9
Aeugst am Albis;Rüschlikon;6
Aeugst am Albis;Thalwil;9
Aeugst am Albis;Wädenswil;5
Aeugst am Albis;Dübendorf;6
Aeugst am Albis;Birmensdorf (ZH);6
Aeugst am Albis;Dietikon;9
Aeugst am Albis;Schlieren;11
Aeugst am Albis;Uitikon;8
Aeugst am Albis;Urdorf;11
Aeugst am Albis;Zürich;352
Aeugst am Albis;Andere Gemeinden;38
Aeugst am Albis;Andere Gemeinden;6
Aeugst am Albis;Luzern;9
Aeugst am Albis;Andere Gemeinden;14
Aeugst am Albis;Andere Gemeinden;8
Aeugst am Albis;Baar;46
Aeugst am Albis;Cham;7
Aeugst am Albis;Risch;7
Aeugst am Albis;Steinhausen;22
Aeugst am Albis;Zug;48
Aeugst am Albis;Andere Gemeinden;5
Aeugst am Albis;Andere Gemeinden;34
Aeugst am Albis;Andere Gemeinden;11
Affoltern am Albis;Aeugst am Albis;66
Affoltern am Albis;Affoltern am Albis;1972
Affoltern am Albis;Bonstetten;31
Affoltern am Albis;Hausen am Albis;29
Affoltern am Albis;Hedingen;166
Affoltern am Albis;Kappel am Albis;9
Affoltern am Albis;Knonau;18
Affoltern am Albis;Mettmenstetten;151
Affoltern am Albis;Obfelden;58
Affoltern am Albis;Ottenbach;48
Affoltern am Albis;Rifferswil;6
Affoltern am Albis;Stallikon;19
Affoltern am Albis;Wettswil am Albis;43
Affoltern am Albis;Bassersdorf;8
Affoltern am Albis;Dietlikon;9
Affoltern am Albis;Kloten;40
Affoltern am Albis;Opfikon;25
Affoltern am Albis;Wallisellen;30
Affoltern am Albis;Buchs (ZH);6
Affoltern am Albis;Regensdorf;18
Affoltern am Albis;Rümlang;10
Affoltern am Albis;Adliswil;68
Affoltern am Albis;Horgen;19
Affoltern am Albis;Kilchberg (ZH);24
Affoltern am Albis;Langnau am Albis;11
Affoltern am Albis;Oberrieden;7
Affoltern am Albis;Richterswil;13
Affoltern am Albis;Rüschlikon;6
Affoltern am Albis;Thalwil;14
Affoltern am Albis;Wädenswil;21
Affoltern am Albis;Küsnacht (ZH);9
Affoltern am Albis;Meilen;6
Affoltern am Albis;Zollikon;7
Affoltern am Albis;Fehraltorf;6
Affoltern am Albis;Dübendorf;28
Affoltern am Albis;Uster;9
Affoltern am Albis;Volketswil;13
Affoltern am Albis;Wangen-Brüttisellen;9
Affoltern am Albis;Winterthur;10
Affoltern am Albis;Birmensdorf (ZH);25
Affoltern am Albis;Dietikon;64
Affoltern am Albis;Geroldswil;9
Affoltern am Albis;Schlieren;130
Affoltern am Albis;Uitikon;13
Affoltern am Albis;Urdorf;36
Affoltern am Albis;Zürich;1391
Affoltern am Albis;Andere Gemeinden;70
Affoltern am Albis;Bern;17
Affoltern am Albis;Andere Gemeinden;5
Affoltern am Albis;Emmen;13
Affoltern am Albis;Hochdorf;5
Affoltern am Albis;Rothenburg;5
Affoltern am Albis;Buchrain;6
Affoltern am Albis;Ebikon;12
Affoltern am Albis;Kriens;11
Affoltern am Albis;Luzern;44
Affoltern am Albis;Root;15
Affoltern am Albis;Andere Gemeinden;29
Affoltern am Albis;Freienbach;13
Affoltern am Albis;Küssnacht (SZ);7
Affoltern am Albis;Schwyz;11
Affoltern am Albis;Andere Gemeinden;12
Affoltern am Albis;Baar;152
Affoltern am Albis;Cham;83
Affoltern am Albis;Hünenberg;30
Affoltern am Albis;Menzingen;8
Affoltern am Albis;Neuheim;5
Affoltern am Albis;Risch;43
Affoltern am Albis;Steinhausen;74
Affoltern am Albis;Zug;267
Affoltern am Albis;Andere Gemeinden;6
Affoltern am Albis;Andere Gemeinden;12
Affoltern am Albis;Basel;12
Affoltern am Albis;Andere Gemeinden;12
Affoltern am Albis;Rapperswil-Jona;8
Affoltern am Albis;Andere Gemeinden;10
Affoltern am Albis;Aarau;8
Affoltern am Albis;Buchs (AG);6
Affoltern am Albis;Baden;30
Affoltern am Albis;Neuenhof;5
Affoltern am Albis;Spreitenbach;14
Affoltern am Albis;Wettingen;9
Affoltern am Albis;Arni (AG);11
Affoltern am Albis;Bremgarten (AG);7
Affoltern am Albis;Jonen;13
Affoltern am Albis;Oberlunkhofen;9
Affoltern am Albis;Villmergen;10
Affoltern am Albis;Wohlen (AG);9
Affoltern am Albis;Lenzburg;6
Affoltern am Albis;Merenschwand;51
Affoltern am Albis;Muri (AG);55
Affoltern am Albis;Sins;6
Affoltern am Albis;Andere Gemeinden;66
Affoltern am Albis;Andere Gemeinden;8
Affoltern am Albis;Andere Gemeinden;24
Bonstetten;Affoltern am Albis;124
Bonstetten;Bonstetten;348
Bonstetten;Hausen am Albis;9
Bonstetten;Hedingen;36
Bonstetten;Mettmenstetten;12
Bonstetten;Obfelden;8
Bonstetten;Stallikon;28
Bonstetten;Wettswil am Albis;62
Bonstetten;Kloten;21
Bonstetten;Opfikon;23
Bonstetten;Wallisellen;29
Bonstetten;Regensdorf;10
Bonstetten;Rümlang;6
Bonstetten;Adliswil;33
Bonstetten;Horgen;15
Bonstetten;Kilchberg (ZH);15
Bonstetten;Langnau am Albis;8
Bonstetten;Rüschlikon;8
Bonstetten;Thalwil;16
Bonstetten;Wädenswil;14
Bonstetten;Küsnacht (ZH);12
Bonstetten;Zollikon;11
Bonstetten;Dübendorf;15
Bonstetten;Volketswil;9
Bonstetten;Wangen-Brüttisellen;5
Bonstetten;Winterthur;9
Bonstetten;Birmensdorf (ZH);86
Bonstetten;Dietikon;51
Bonstetten;Schlieren;52
Bonstetten;Uitikon;5
Bonstetten;Urdorf;87
Bonstetten;Zürich;1240
Bonstetten;Andere Gemeinden;89
Bonstetten;Bern;13
Bonstetten;Emmen;10
Bonstetten;Luzern;14
Bonstetten;Andere Gemeinden;16
Bonstetten;Freienbach;5
Bonstetten;Wollerau;6
Bonstetten;Andere Gemeinden;8
Bonstetten;Baar;24
Bonstetten;Cham;15
Bonstetten;Risch;14
Bonstetten;Steinhausen;15
Bonstetten;Zug;51
Bonstetten;Basel;6
Bonstetten;Andere Gemeinden;6
Bonstetten;St. Gallen;5
Bonstetten;Andere Gemeinden;6
Bonstetten;Aarau;6
Bonstetten;Baden;18
Bonstetten;Spreitenbach;6
Bonstetten;Wettingen;6
Bonstetten;Arni (AG);6
Bonstetten;Bremgarten (AG);8
Bonstetten;Jonen;5
Bonstetten;Merenschwand;7
Bonstetten;Muri (AG);6
Bonstetten;Andere Gemeinden;43
Bonstetten;Andere Gemeinden;24
Hausen am Albis;Aeugst am Albis;19
Hausen am Albis;Affoltern am Albis;82
Hausen am Albis;Hausen am Albis;398
Hausen am Albis;Hedingen;8
Hausen am Albis;Kappel am Albis;29
Hausen am Albis;Mettmenstetten;29
Hausen am Albis;Obfelden;11
Hausen am Albis;Ottenbach;5
Hausen am Albis;Rifferswil;12
Hausen am Albis;Stallikon;18
Hausen am Albis;Kloten;12
Hausen am Albis;Opfikon;5
Hausen am Albis;Wallisellen;9
Hausen am Albis;Adliswil;37
Hausen am Albis;Horgen;31
Hausen am Albis;Kilchberg (ZH);14
Hausen am Albis;Langnau am Albis;15
Hausen am Albis;Rüschlikon;8
Hausen am Albis;Thalwil;18
Hausen am Albis;Wädenswil;17
Hausen am Albis;Dübendorf;9
Hausen am Albis;Dietikon;13
Hausen am Albis;Schlieren;11
Hausen am Albis;Zürich;396
Hausen am Albis;Andere Gemeinden;65
Hausen am Albis;Andere Gemeinden;8
Hausen am Albis;Luzern;22
Hausen am Albis;Andere Gemeinden;28
Hausen am Albis;Freienbach;7
Hausen am Albis;Wollerau;5
Hausen am Albis;Lachen;8
Hausen am Albis;Andere Gemeinden;16
Hausen am Albis;Andere Gemeinden;7
Hausen am Albis;Baar;166
Hausen am Albis;Cham;38
Hausen am Albis;Hünenberg;8
Hausen am Albis;Menzingen;6
Hausen am Albis;Neuheim;7
Hausen am Albis;Risch;16
Hausen am Albis;Steinhausen;60
Hausen am Albis;Unterägeri;5
Hausen am Albis;Zug;110
Hausen am Albis;Basel;7
Hausen am Albis;Rapperswil-Jona;5
Hausen am Albis;Baden;5
Hausen am Albis;Muri (AG);7
Hausen am Albis;Andere Gemeinden;22
Hausen am Albis;Andere Gemeinden;16
Hedingen;Aeugst am Albis;10
Hedingen;Affoltern am Albis;191
Hedingen;Bonstetten;25
Hedingen;Hedingen;308
Hedingen;Mettmenstetten;17
Hedingen;Obfelden;16
Hedingen;Ottenbach;9
Hedingen;Stallikon;9
Hedingen;Wettswil am Albis;16
Hedingen;Kloten;27
Hedingen;Opfikon;12
Hedingen;Wallisellen;14
Hedingen;Adliswil;18
Hedingen;Horgen;9
Hedingen;Kilchberg (ZH);10
Hedingen;Rüschlikon;6
Hedingen;Thalwil;11
Hedingen;Dübendorf;16
Hedingen;Uster;7
Hedingen;Winterthur;8
Hedingen;Aesch (ZH);5
Hedingen;Birmensdorf (ZH);11
Hedingen;Dietikon;31
Hedingen;Oberengstringen;5
Hedingen;Schlieren;55
Hedingen;Uitikon;6
Hedingen;Urdorf;24
Hedingen;Zürich;742
Hedingen;Andere Gemeinden;68
Hedingen;Andere Gemeinden;9
Hedingen;Luzern;29
Hedingen;Root;7
Hedingen;Andere Gemeinden;13
Hedingen;Schwyz;5
Hedingen;Andere Gemeinden;9
Hedingen;Baar;26
Hedingen;Cham;15
Hedingen;Risch;15
Hedingen;Steinhausen;14
Hedingen;Zug;53
Hedingen;Andere Gemeinden;8
Hedingen;Andere Gemeinden;6
Hedingen;Andere Gemeinden;5
Hedingen;Baden;11
Hedingen;Spreitenbach;6
Hedingen;Bremgarten (AG);6
Hedingen;Jonen;5
Hedingen;Merenschwand;11
Hedingen;Muri (AG);5
Hedingen;Andere Gemeinden;42
Hedingen;Andere Gemeinden;18
Kappel am Albis;Affoltern am Albis;24
Kappel am Albis;Hausen am Albis;17
Kappel am Albis;Hedingen;7
Kappel am Albis;Kappel am Albis;122
Kappel am Albis;Mettmenstetten;7
Kappel am Albis;Rifferswil;5
Kappel am Albis;Wallisellen;5
Kappel am Albis;Adliswil;6
Kappel am Albis;Wädenswil;5
Kappel am Albis;Birmensdorf (ZH);5
Kappel am Albis;Schlieren;7
Kappel am Albis;Zürich;76
Kappel am Albis;Andere Gemeinden;32
Kappel am Albis;Luzern;6
Kappel am Albis;Andere Gemeinden;12
Kappel am Albis;Andere Gemeinden;8
Kappel am Albis;Baar;64
Kappel am Albis;Cham;10
Kappel am Albis;Hünenberg;6
Kappel am Albis;Menzingen;5
Kappel am Albis;Risch;14
Kappel am Albis;Steinhausen;30
Kappel am Albis;Zug;53
Kappel am Albis;Andere Gemeinden;6
Kappel am Albis;Andere Gemeinden;15
Kappel am Albis;Andere Gemeinden;9
Knonau;Affoltern am Albis;50
Knonau;Bonstetten;5
Knonau;Hedingen;5
Knonau;Knonau;155
Knonau;Mettmenstetten;38
Knonau;Obfelden;10
Knonau;Ottenbach;5
Knonau;Kloten;9
Knonau;Adliswil;8
Knonau;Thalwil;5
Knonau;Dübendorf;5
Knonau;Winterthur;5
Knonau;Dietikon;7
Knonau;Schlieren;8
Knonau;Urdorf;9
Knonau;Zürich;184
Knonau;Andere Gemeinden;50
Knonau;Andere Gemeinden;6
Knonau;Emmen;8
Knonau;Kriens;6
Knonau;Luzern;20
Knonau;Root;7
Knonau;Andere Gemeinden;21
Knonau;Küssnacht (SZ);6
Knonau;Schwyz;6
Knonau;Andere Gemeinden;11
Knonau;Baar;72
Knonau;Cham;52
Knonau;Hünenberg;21
Knonau;Neuheim;5
Knonau;Risch;18
Knonau;Steinhausen;65
Knonau;Zug;155
Knonau;Merenschwand;5
Knonau;Mühlau;5
Knonau;Muri (AG);5
Knonau;Andere Gemeinden;28
Knonau;Andere Gemeinden;16
Maschwanden;Affoltern am Albis;30
Maschwanden;Knonau;7
Maschwanden;Maschwanden;71
Maschwanden;Mettmenstetten;14
Maschwanden;Schlieren;5
Maschwanden;Zürich;60
Maschwanden;Andere Gemeinden;52
Maschwanden;Luzern;5
Maschwanden;Andere Gemeinden;8
Maschwanden;Baar;18
Maschwanden;Cham;9
Maschwanden;Steinhausen;14
Maschwanden;Zug;27
Maschwanden;Andere Gemeinden;11
Maschwanden;Merenschwand;6
Maschwanden;Andere Gemeinden;21
Maschwanden;Andere Gemeinden;8
Mettmenstetten;Aeugst am Albis;11
Mettmenstetten;Affoltern am Albis;220
Mettmenstetten;Bonstetten;14
Mettmenstetten;Hausen am Albis;23
Mettmenstetten;Hedingen;18
Mettmenstetten;Kappel am Albis;10
Mettmenstetten;Knonau;24
Mettmenstetten;Mettmenstetten;539
Mettmenstetten;Obfelden;36
Mettmenstetten;Ottenbach;11
Mettmenstetten;Rifferswil;9
Mettmenstetten;Stallikon;6
Mettmenstetten;Wettswil am Albis;11
Mettmenstetten;Kloten;7
Mettmenstetten;Opfikon;7
Mettmenstetten;Wallisellen;16
Mettmenstetten;Regensdorf;6
Mettmenstetten;Rümlang;7
Mettmenstetten;Adliswil;21
Mettmenstetten;Horgen;6
Mettmenstetten;Kilchberg (ZH);9
Mettmenstetten;Rüschlikon;5
Mettmenstetten;Thalwil;11
Mettmenstetten;Wädenswil;7
Mettmenstetten;Zollikon;6
Mettmenstetten;Dübendorf;13
Mettmenstetten;Birmensdorf (ZH);8
Mettmenstetten;Dietikon;16
Mettmenstetten;Schlieren;11
Mettmenstetten;Uitikon;5
Mettmenstetten;Urdorf;19
Mettmenstetten;Zürich;509
Mettmenstetten;Andere Gemeinden;61
Mettmenstetten;Andere Gemeinden;7
Mettmenstetten;Emmen;11
Mettmenstetten;Ebikon;7
Mettmenstetten;Kriens;7
Mettmenstetten;Luzern;32
Mettmenstetten;Root;6
Mettmenstetten;Andere Gemeinden;18
Mettmenstetten;Freienbach;6
Mettmenstetten;Andere Gemeinden;16
Mettmenstetten;Baar;122
Mettmenstetten;Cham;65
Mettmenstetten;Hünenberg;23
Mettmenstetten;Risch;17
Mettmenstetten;Steinhausen;80
Mettmenstetten;Zug;157
Mettmenstetten;Andere Gemeinden;11
Mettmenstetten;Andere Gemeinden;5
Mettmenstetten;Andere Gemeinden;6
Mettmenstetten;Baden;5
Mettmenstetten;Merenschwand;10
Mettmenstetten;Muri (AG);15
Mettmenstetten;Sins;8
Mettmenstetten;Andere Gemeinden;54
Mettmenstetten;Andere Gemeinden;25
Obfelden;Aeugst am Albis;14
Obfelden;Affoltern am Albis;285
Obfelden;Bonstetten;10
Obfelden;Hausen am Albis;7
Obfelden;Hedingen;37
Obfelden;Knonau;6
Obfelden;Mettmenstetten;76
Obfelden;Obfelden;522
Obfelden;Ottenbach;24
Obfelden;Stallikon;7
Obfelden;Wettswil am Albis;12
Obfelden;Kloten;20
Obfelden;Opfikon;5
Obfelden;Wallisellen;19
Obfelden;Rümlang;5
Obfelden;Adliswil;40
Obfelden;Horgen;12
Obfelden;Kilchberg (ZH);5
Obfelden;Langnau am Albis;11
Obfelden;Thalwil;8
Obfelden;Wädenswil;6
Obfelden;Dübendorf;12
Obfelden;Uster;6
Obfelden;Wangen-Brüttisellen;5
Obfelden;Winterthur;6
Obfelden;Birmensdorf (ZH);12
Obfelden;Dietikon;40
Obfelden;Schlieren;48
Obfelden;Urdorf;20
Obfelden;Zürich;559
Obfelden;Andere Gemeinden;78
Obfelden;Andere Gemeinden;10
Obfelden;Emmen;12
Obfelden;Luzern;23
Obfelden;Root;5
Obfelden;Andere Gemeinden;31
Obfelden;Andere Gemeinden;18
Obfelden;Baar;64
Obfelden;Cham;44
Obfelden;Hünenberg;27
Obfelden;Risch;17
Obfelden;Steinhausen;34
Obfelden;Unterägeri;5
Obfelden;Zug;135
Obfelden;Andere Gemeinden;6
Obfelden;Andere Gemeinden;13
Obfelden;Baden;11
Obfelden;Bremgarten (AG);5
Obfelden;Jonen;14
Obfelden;Villmergen;6
Obfelden;Wohlen (AG);9
Obfelden;Zufikon;5
Obfelden;Lenzburg;5
Obfelden;Merenschwand;52
Obfelden;Muri (AG);29
Obfelden;Sins;9
Obfelden;Andere Gemeinden;69
Obfelden;Andere Gemeinden;20
Ottenbach;Aeugst am Albis;7
Ottenbach;Affoltern am Albis;158
Ottenbach;Bonstetten;12
Ottenbach;Hausen am Albis;8
Ottenbach;Hedingen;20
Ottenbach;Kappel am Albis;5
Ottenbach;Mettmenstetten;23
Ottenbach;Obfelden;41
Ottenbach;Ottenbach;216
Ottenbach;Stallikon;5
Ottenbach;Wettswil am Albis;5
Ottenbach;Kloten;13
Ottenbach;Wallisellen;10
Ottenbach;Dielsdorf;5
Ottenbach;Regensdorf;9
Ottenbach;Adliswil;14
Ottenbach;Thalwil;6
Ottenbach;Wädenswil;6
Ottenbach;Dübendorf;5
Ottenbach;Dietikon;18
Ottenbach;Schlieren;18
Ottenbach;Uitikon;8
Ottenbach;Urdorf;20
Ottenbach;Zürich;352
Ottenbach;Andere Gemeinden;54
Ottenbach;Andere Gemeinden;5
Ottenbach;Emmen;7
Ottenbach;Luzern;11
Ottenbach;Andere Gemeinden;13
Ottenbach;Andere Gemeinden;10
Ottenbach;Baar;39
Ottenbach;Cham;17
Ottenbach;Hünenberg;8
Ottenbach;Risch;11
Ottenbach;Steinhausen;10
Ottenbach;Zug;42
Ottenbach;Andere Gemeinden;7
Ottenbach;Baden;7
Ottenbach;Bremgarten (AG);9
Ottenbach;Jonen;11
Ottenbach;Oberlunkhofen;6
Ottenbach;Villmergen;6
Ottenbach;Wohlen (AG);10
Ottenbach;Merenschwand;12
Ottenbach;Muri (AG);18
Ottenbach;Andere Gemeinden;51
Ottenbach;Andere Gemeinden;13
Rifferswil;Affoltern am Albis;57
Rifferswil;Bonstetten;5
Rifferswil;Hausen am Albis;20
Rifferswil;Kappel am Albis;7
Rifferswil;Mettmenstetten;21
Rifferswil;Rifferswil;89
Rifferswil;Adliswil;9
Rifferswil;Dietikon;5
Rifferswil;Schlieren;8
Rifferswil;Zürich;132
Rifferswil;Andere Gemeinden;57
Rifferswil;Luzern;7
Rifferswil;Andere Gemeinden;5
Rifferswil;Andere Gemeinden;7
Rifferswil;Baar;20
Rifferswil;Hünenberg;8
Rifferswil;Risch;5
Rifferswil;Steinhausen;19
Rifferswil;Zug;28
Rifferswil;Andere Gemeinden;8
Rifferswil;Andere Gemeinden;14
Rifferswil;Andere Gemeinden;9
Stallikon;Affoltern am Albis;36
Stallikon;Bonstetten;20
Stallikon;Hedingen;5
Stallikon;Mettmenstetten;6
Stallikon;Stallikon;228
Stallikon;Wettswil am Albis;18
Stallikon;Dietlikon;8
Stallikon;Kloten;26
Stallikon;Opfikon;14
Stallikon;Wallisellen;15
Stallikon;Regensdorf;8
Stallikon;Wetzikon (ZH);5
Stallikon;Adliswil;43
Stallikon;Horgen;9
Stallikon;Kilchberg (ZH);6
Stallikon;Langnau am Albis;5
Stallikon;Thalwil;12
Stallikon;Wädenswil;8
Stallikon;Zollikon;6
Stallikon;Lindau;8
Stallikon;Dübendorf;8
Stallikon;Winterthur;5
Stallikon;Birmensdorf (ZH);22
Stallikon;Dietikon;28
Stallikon;Schlieren;47
Stallikon;Uitikon;46
Stallikon;Urdorf;38
Stallikon;Zürich;858
Stallikon;Andere Gemeinden;54
Stallikon;Bern;6
Stallikon;Luzern;8
Stallikon;Andere Gemeinden;7
Stallikon;Andere Gemeinden;12
Stallikon;Baar;15
Stallikon;Steinhausen;8
Stallikon;Zug;21
Stallikon;Andere Gemeinden;11
Stallikon;Andere Gemeinden;11
Stallikon;Andere Gemeinden;11
Stallikon;Baden;6
Stallikon;Spreitenbach;8
Stallikon;Rudolfstetten-Friedlisberg;5
Stallikon;Andere Gemeinden;45
Stallikon;Andere Gemeinden;17
Wettswil am Albis;Affoltern am Albis;70
Wettswil am Albis;Bonstetten;61
Wettswil am Albis;Hausen am Albis;6
Wettswil am Albis;Hedingen;25
Wettswil am Albis;Obfelden;7
Wettswil am Albis;Stallikon;14
Wettswil am Albis;Wettswil am Albis;336
Wettswil am Albis;Kloten;30
Wettswil am Albis;Opfikon;21
Wettswil am Albis;Wallisellen;20
Wettswil am Albis;Dielsdorf;8
Wettswil am Albis;Rümlang;7
Wettswil am Albis;Adliswil;33
Wettswil am Albis;Horgen;17
Wettswil am Albis;Kilchberg (ZH);13
Wettswil am Albis;Rüschlikon;8
Wettswil am Albis;Thalwil;10
Wettswil am Albis;Wädenswil;11
Wettswil am Albis;Küsnacht (ZH);5
Wettswil am Albis;Zollikon;11
Wettswil am Albis;Dübendorf;11
Wettswil am Albis;Volketswil;6
Wettswil am Albis;Winterthur;5
Wettswil am Albis;Birmensdorf (ZH);26
Wettswil am Albis;Dietikon;32
Wettswil am Albis;Schlieren;48
Wettswil am Albis;Uitikon;95
Wettswil am Albis;Urdorf;37
Wettswil am Albis;Zürich;980
Wettswil am Albis;Andere Gemeinden;82
Wettswil am Albis;Andere Gemeinden;8
Wettswil am Albis;Emmen;5
Wettswil am Albis;Luzern;8
Wettswil am Albis;Andere Gemeinden;12
Wettswil am Albis;Freienbach;12
Wettswil am Albis;Andere Gemeinden;11
Wettswil am Albis;Baar;32
Wettswil am Albis;Cham;6
Wettswil am Albis;Hünenberg;5
Wettswil am Albis;Risch;7
Wettswil am Albis;Steinhausen;21
Wettswil am Albis;Zug;36
Wettswil am Albis;Basel;5
Wettswil am Albis;Andere Gemeinden;9
Wettswil am Albis;Baden;22
Wettswil am Albis;Spreitenbach;7
Wettswil am Albis;Islisberg;6
Wettswil am Albis;Lenzburg;5
Wettswil am Albis;Merenschwand;6
Wettswil am Albis;Muri (AG);6
Wettswil am Albis;Andere Gemeinden;48
Wettswil am Albis;Andere Gemeinden;9
Wettswil am Albis;Andere Gemeinden;32
Adlikon;Adlikon;60
Adlikon;Flaach;6
Adlikon;Andelfingen;31
Adlikon;Henggart;9
Adlikon;Kleinandelfingen;16
Adlikon;Embrach;6
Adlikon;Kloten;10
Adlikon;Dübendorf;6
Adlikon;Seuzach;7
Adlikon;Winterthur;52
Adlikon;Zürich;37
Adlikon;Andere Gemeinden;59
Adlikon;Neuhausen am Rheinfall;5
Adlikon;Schaffhausen;11
Adlikon;Frauenfeld;5
Adlikon;Andere Gemeinden;16
Benken (ZH);Benken (ZH);113
Benken (ZH);Feuerthalen;12
Benken (ZH);Andelfingen;9
Benken (ZH);Kleinandelfingen;16
Benken (ZH);Marthalen;21
Benken (ZH);Trüllikon;5
Benken (ZH);Bülach;6
Benken (ZH);Kloten;8
Benken (ZH);Dübendorf;5
Benken (ZH);Seuzach;7
Benken (ZH);Winterthur;53
Benken (ZH);Zürich;58
Benken (ZH);Andere Gemeinden;67
Benken (ZH);Schaffhausen;60
Benken (ZH);Andere Gemeinden;12
Benken (ZH);Andere Gemeinden;7
Benken (ZH);Frauenfeld;7
Benken (ZH);Andere Gemeinden;8
Benken (ZH);Andere Gemeinden;11
Berg am Irchel;Berg am Irchel;77
Berg am Irchel;Buch am Irchel;5
Berg am Irchel;Flaach;16
Berg am Irchel;Embrach;5
Berg am Irchel;Kloten;20
Berg am Irchel;Wallisellen;5
Berg am Irchel;Neftenbach;8
Berg am Irchel;Seuzach;5
Berg am Irchel;Winterthur;46
Berg am Irchel;Zürich;35
Berg am Irchel;Andere Gemeinden;58
Berg am Irchel;Schaffhausen;7
Berg am Irchel;Andere Gemeinden;5
Berg am Irchel;Andere Gemeinden;5
Berg am Irchel;Andere Gemeinden;7
Berg am Irchel;Andere Gemeinden;9
Buch am Irchel;Buch am Irchel;91
Buch am Irchel;Flaach;8
Buch am Irchel;Kleinandelfingen;5
Buch am Irchel;Bülach;9
Buch am Irchel;Kloten;84
Buch am Irchel;Opfikon;5
Buch am Irchel;Wallisellen;9
Buch am Irchel;Dübendorf;10
Buch am Irchel;Neftenbach;15
Buch am Irchel;Pfungen;10
Buch am Irchel;Seuzach;7
Buch am Irchel;Winterthur;94
Buch am Irchel;Zürich;54
Buch am Irchel;Andere Gemeinden;89
Buch am Irchel;Andere Gemeinden;7
Buch am Irchel;Schaffhausen;8
Buch am Irchel;Andere Gemeinden;8
Buch am Irchel;Andere Gemeinden;5
Buch am Irchel;Andere Gemeinden;8
Buch am Irchel;Andere Gemeinden;12
Dachsen;Dachsen;190
Dachsen;Feuerthalen;9
Dachsen;Flurlingen;7
Dachsen;Andelfingen;10
Dachsen;Laufen-Uhwiesen;15
Dachsen;Marthalen;6
Dachsen;Embrach;7
Dachsen;Kloten;14
Dachsen;Opfikon;11
Dachsen;Wallisellen;9
Dachsen;Rümlang;6
Dachsen;Dübendorf;5
Dachsen;Seuzach;5
Dachsen;Winterthur;100
Dachsen;Zürich;140
Dachsen;Andere Gemeinden;70
Dachsen;Thayngen;8
Dachsen;Beringen;13
Dachsen;Neuhausen am Rheinfall;77
Dachsen;Schaffhausen;216
Dachsen;Andere Gemeinden;6
Dachsen;Andere Gemeinden;12
Dachsen;Andere Gemeinden;10
Dachsen;Diessenhofen;16
Dachsen;Schlatt (TG);5
Dachsen;Frauenfeld;8
Dachsen;Andere Gemeinden;5
Dachsen;Andere Gemeinden;16
Dorf;Dorf;67
Dorf;Flaach;12
Dorf;Andelfingen;17
Dorf;Kleinandelfingen;9
Dorf;Kloten;25
Dorf;Wallisellen;6
Dorf;Dübendorf;5
Dorf;Neftenbach;6
Dorf;Winterthur;60
Dorf;Zürich;51
Dorf;Andere Gemeinden;67
Dorf;Schaffhausen;5
Dorf;Andere Gemeinden;7
Dorf;Andere Gemeinden;6
Dorf;Andere Gemeinden;7
Dorf;Andere Gemeinden;9
Feuerthalen;Dachsen;14
Feuerthalen;Feuerthalen;327
Feuerthalen;Flurlingen;15
Feuerthalen;Andelfingen;8
Feuerthalen;Kleinandelfingen;6
Feuerthalen;Laufen-Uhwiesen;8
Feuerthalen;Marthalen;6
Feuerthalen;Bülach;11
Feuerthalen;Embrach;9
Feuerthalen;Kloten;20
Feuerthalen;Opfikon;16
Feuerthalen;Wallisellen;10
Feuerthalen;Dübendorf;5
Feuerthalen;Seuzach;6
Feuerthalen;Winterthur;69
Feuerthalen;Zürich;176
Feuerthalen;Andere Gemeinden;93
Feuerthalen;Andere Gemeinden;8
Feuerthalen;Andere Gemeinden;5
Feuerthalen;Thayngen;22
Feuerthalen;Beringen;38
Feuerthalen;Neuhausen am Rheinfall;150
Feuerthalen;Schaffhausen;648
Feuerthalen;Stein am Rhein;7
Feuerthalen;Wilchingen;5
Feuerthalen;Andere Gemeinden;20
Feuerthalen;Andere Gemeinden;15
Feuerthalen;Andere Gemeinden;18
Feuerthalen;Basadingen-Schlattingen;18
Feuerthalen;Diessenhofen;42
Feuerthalen;Schlatt (TG);10
Feuerthalen;Frauenfeld;13
Feuerthalen;Andere Gemeinden;26
Feuerthalen;Andere Gemeinden;15
Flaach;Dorf;5
Flaach;Flaach;238
Flaach;Andelfingen;14
Flaach;Henggart;10
Flaach;Humlikon;6
Flaach;Kleinandelfingen;7
Flaach;Marthalen;11
Flaach;Bülach;8
Flaach;Eglisau;5
Flaach;Embrach;9
Flaach;Kloten;52
Flaach;Opfikon;9
Flaach;Rafz;13
Flaach;Wallisellen;8
Flaach;Dübendorf;8
Flaach;Volketswil;5
Flaach;Neftenbach;6
Flaach;Pfungen;6
Flaach;Seuzach;6
Flaach;Winterthur;103
Flaach;Schlieren;5
Flaach;Zürich;73
